"STATION","NAME","DATE","TMAX"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-19","99"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-20","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-21","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-22","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-23","87"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-24","89"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-25","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-26","97"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-27","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-28","97"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-29","93"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-30","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-01","91"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-02","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-03","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-04","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-05","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-06","78"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-07","84"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-08","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-09","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-10","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-11","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-12","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-13","82"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-14","86"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-15","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-16","87"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-17","82"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-18","86"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-19","91"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-20","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-21","79"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-22","82"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-23","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-24","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-25","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-26","93"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-27","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-28","97"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-29","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-30","89"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-10-31","85"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-01","86"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-02","85"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-03","92"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-04","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-05","93"
